Turma;Ano de Ingresso;Ano Egresso;Você está empregado no Einstein?;Você está empregado na área em que se formou?;Se sim, em qual instituição?;Em qual cargo?;Progressão de carreira;Caso esteja empregado, em qual unidade/setor está trabalhando?;Curso;Formação;Lyceum (Sit Aluno);Situação do aluno;Pendência;Motivo do cancelamento;Data do cancelamento;Mês do cancelamento;Data de reabertura;Observação;Respondeu a pesquisa?;O docente indica?;Pretende iniciar alguma graduação?;Local de trabalho;tratativa de repetido
ENF21N1S;fev/21;dez/22;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;E - Adaptação;09/05/2022;;;;;;;;sim
ENF21N2S;ago/21;jun/23;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;E - Adaptação;25/02/2022;;;;;;;;
ENF23T1S;jan/23;dez/24;;;;;;;Curso Técnico de Enfermagem;;Ativo;Matriculado;;;;;;;;;;;
ENF21N1S;fev/21;dez/22;Não;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;Fez estágio extra no Morumbi excelente;;;;;sim
ENF21M1S;fev/21;dez/22;;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Transferência;Transferida para ENF21N1S;;;;;Transferida para ENF21N1S;;;;;não
ENF21T1S;fev/21;dez/22;Sim;Sim;Hospital Israelita Albert Einstein;Tecnico Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;sim
ENF20N1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Unidade de Internação 11º andar Bloco A;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
ENF20T1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Ortopedia;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;Sim;;
ADMPTA 22M1S;fev/22;dez/22;;Sim;Clinica consultório;Atendimento;;;Curso Técnico em Administração com Ênfase nos Serviços de Saúde;Curso Técnico em Administração com Ênfase nos Serviços de Saúde;Ativo;Aprovado;;;;;;Se destaca na comunicação;;;;;sim
ENF21T1S;fev/21;dez/22;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar Administrativo;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;Einstein;sim
ENF22M1S;fev/22;dez/23;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Mudança de horário no trabalho ;26/01/2022;;;;;;;;
ENF EURO 5T;fev/22;dez/23;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de enfermagem;;CMC Transplante- Unidade Morumbi;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;;;;;;;;;;;
ENF21M1S;fev/21;dez/22;Não;Não;Centro Administr. (Faria Lima);Representante Serviço Atendimento II;Desligada;Centro Agend. Atendimento Telefônic XIII;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;sim
ENF21M2S;ago/21;jun/23;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Cancelado;;Motivos pessoais;23/11/2022;Reabriu 18/12/2022;;;;;;;
ENF21N2S;ago/21;jun/23;Não;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;;;;;;;;;;
ENF20M1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Centro Cirúrgico Day Clinic - Enfermagem;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;Sim;Sim;;
ENF23N1S;jan/23;dez/24;esta em outra turma;;;;;;Curso Técnico de Enfermagem;;Cancelado;Matriculado;;;;;;;;;;;
ENF21N2S;ago/21;jun/23;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Motivos pessoais;05/07/2022;;;;;;;;
ENF21N1S;fev/21;dez/22;Não;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;Era da PTA;;;;;Era da PTA;;;;;sim
RAD22N1S;fev/21;dez/23;;Não;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Ativo;Aprovado;;;;;;;;;;;sim
ENF20N1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Unidade de Internação 7º andar Bloco D;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado ;;;;;;;;;;;
ENF20T1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Geriatria;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado ;;;;;;;Sim;;Sim;;
ENF21T1S;fev/21;dez/22;Sim;Sim;Hospital Israelita Albert Einstein;Tecnico Enfermagem;;Hemodiálise HIAE;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;Einstein;sim
ENF21T1S;fev/21;dez/22;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;E - Horário;01/10/2021;;;;;;;;sim
ENF20N1S;fev/20;dez/21;;Sim;HMVSC ;Técnico de Enfermagem;;TE UPA;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;Não;;
ENF EURO 5T;fev/22;dez/23;;Sim;Hospital Israelita Albert Einstein;Auxiliar Enfermagem;;Transplante;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;;;;;;;;;;;
ENF EURO 5T;fev/22;dez/23;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Reprovado;Teoria e estágio PAI;;;;;Teoria e estágio PAI;;;;;
ENF21N2S;ago/21;jun/23;Não;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;Reprovada em Micro e MP;;;;;;;;;;
ENF23N1S;jan/23;dez/24;cancelou;;;;;;Curso Técnico de Enfermagem;;Cancelado;Cancelado;;E - Falta de Tempo;31/03/2023;;;;;;;;
ENF21M1S;fev/21;dez/22;Não;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;sim
ENF21N2S;ago/21;jun/23;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Mudança de horário no trabalho ;16/02/2022;;;;;;;;
ENF21N1S;fev/21;dez/22;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;CT_Financeiro;26/02/2021;;;;;;;;sim
ENF20N1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Transporte Pacientes;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Não;;;;
ENF22M2S;ago/22;jun/24;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Matriculado;;;;;;;;;;;
ENF20N1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Ambulatório;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;Sim;;
ENF21T1S;fev/21;dez/21;;Não;Monitoria - Einstein;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Cancelado/Transferência MTO;;Motivos Pessoais;12/11/2021;;;;;;;;sim
ENF21T1S;fev/21;dez/22;;Sim;Hospital Brigadeiro;Técnico de enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;Tem muito interesse em ingressar na área, muito solícita ao contato;;;;;Transferida para ENF21T1S/Tem muito interesse em ingressar na área, muito solícita ao contato;;;;;sim
AC21N1S;fev/21;dez/22;;Sim;Grupo Fleury;Técnico Laboratorista;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Concluido;Aprovado;;;;;;Tem muito interesse em entrar na área;;;;;sim
ENF EURO 4T;ago/20;jun/22;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Unidade de Internação 11º andar - Bloco A;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;Sim;Não;Einstein;sim
ENF21M1S;fev/21;dez/22;;Sim;HMVSC;Auxiliar de Enfermagem;;Assistencial - CC, CME e Endoscopia;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Transferência;Transferido para ENF21N1S;;;;;Transferido para ENF21N1S;;;;;não
ENF23N1S;jan/23;dez/24;não esta na turma;;Hospital Israelita Albert Einstein;;;;Curso Técnico de Enfermagem;;Cancelado;Cancelado;;D-Financeiro;05/01/2023;jan/23;;;;;;;
RAD21N1S;fev/21;dez/22;Sim;Sim;Hospital Israelita Albert Einstein;Tecnico Raio X;;Radiologia II;Curso Técnico em Radiologia ;Técnico em Radiologia;Concluido;Aprovado;;;;;;;;;;Einstein;sim
ENF21N1S;fev/21;dez/22;;Sim;Clinica Oftamologica ;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Reprovado;Reprovada em teoria de APPS e GQ;;;;;Reprovada em teoria de APPS e GQ;;;;;sim
ENF20N2S;ago/20;jun/22;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Unidade de Internação 12 °andar;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Não;;;Einstein;sim
ENF21N2S;ago/21;jun/23;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem ;;Unidade de internação - 13º D;Curso Técnico de Enfermagem;Técnico de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
ENF23T1S;jan/23;dez/24;;;;;;;Curso Técnico de Enfermagem;;Cancelado;Matriculado;;;;;;;;;;;
ENF20N1S;fev/20;dez/21;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;CT_Reprovação;;;;;Não;;;;
ENF EURO 4T;ago/20;jun/22;Sim;Sim;HMVSC;Auxiliar de Enfermagem;;Hospital Municipal Vila Santa Catarina (HMVSC);Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Não;Sim;Sim;Einstein;sim
ENF20N2S;ago/20;jun/22;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Não;;;Einstein;sim
ENF20T1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Assistencial - CC, CME e Endoscopia;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;Sim;Sim;;
ENF22N1S;fev/22;dez/23;;Não;Hospital Israelita Albert Einstein;Estagiário Técnico Extracurricular ;;Unidade de internação - 11º e 12º A  - Bloco D Vagner Macedo;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Cancelado;;;;;;;;;;;
ENF23M1S;fev/23;dez/24;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Matriculado;;;;;;;;;;;
ENF20N1S;fev/20;dez/21;;Sim;HMVSC ;Auxiliar de Enfermagem;;Oncologia;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Não;;;;
ENF22M2S;ago/22;jun/24;Não;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Matriculado;Reprovada no estágio apps;;;;;Reprovada no estágio apps;;;;;
ENF21T1S;fev/21;dez/22;Não;Sim;Rede D'Or;Técnico de Enfermagem;Desligada;Oncologia;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;Einstein;sim
ENF22N1S;fev/22;dez/23;Não;Sim;ONIX GESTÃO E CUIDADOS AO IDOSO;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;;;;;;Reprovada em estagio de PAI I ;;;;;não
ENF21M1S;fev/21;dez/22;Sim;Sim;Hospital Israelita Albert Einstein;Tecnico Enfermagem;;Unidade de Pronto Atendimento;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;Einstein;sim
ENF23M1S;fev/23;dez/24;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;E - Saúde;01/04/2023;abr/23;;;;;;;
ENF21T1S;fev/21;dez/22;Não;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado ;;;;;;;;;;;sim
ENF EURO 5T;fev/22;dez/23;Não;Sim;AC Camargo;Monitoria;;;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;Iniciou na ENF 22M1S;;;;;;;;;;
ENF21N1S;fev/21;dez/22;Não;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;Era da ENF21M1S;;;;;Era da ENF21M1S;;;;;sim
ENF22N1S;fev/22;dez/23;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Mudança de horário no trabalho ;21/02/2022;;;;;;;;
ENF20M2S;ago/20;jun/22;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Transferência ;26/01/2021;;;;Não;;;;sim
ENF22N1S;fev/22;dez/23;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Reprovado;Reprovou em  teoria de PAI ;;;;;Reprovou em  teoria de PAI ;;;;;
ENF20T1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Terapia Intensiva Adulto;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;Sim;Sim;;
ENF20M1S;fev/20;dez/21;;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;Sim;Sim;;
ENF22N1S;fev/22;dez/23;Sim;Sim;Hospital Israelita Albert Einstein;Tecnico Enfermagem;Sim - iniciou como estagiária do extra;Morumbi, UTI adulto;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;;;;;;;;;;;
RAD22N1S;fev/22;dez/23;Sim;Sim;AC Camargo;Técnico Raio X;;Unidade Jardins;Curso Técnico em Radiologia ;Técnico em Radiologia;Ativo;Aprovado;;;;;;;;;;;
AC21N1S;fev/21;dez/22;Sim;Sim;Hospital Israelita Albert Einstein;Assistente Administrativo IIRS III;;IRRS Programas Governamentais - UBS Jardim Helga;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Concluido;Aprovado;;;;;;;;;;Einstein;sim
ENF20N1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi/Pacientes crônicos;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;Sim;;
ENF23T1S;jan/23;dez/24;;;;Estagiário Técnico Extracurricular ;Unidade Coronariana 8º Andar - Enf;;Curso Técnico de Enfermagem;;Ativo;Cancelado;;;;;;;;;;;
ENF22N2S;ago/22;jun/24;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Outros;30/08/2022;;;;;;;;
ENF22M2S;ago/22;jun/24;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Pessoal;30/10/2022;;;;;;;;
ENF22M2S;ago/22;jun/24;;;Hospital Israelita Albert Einstein;Estagiário Técnico Extracurricular ;Unidade Internação Neurologia;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Matriculado;;;;;;;;;;;
ENF21M1S;fev/21;dez/22;Não;Sim;Hospital São Luiz/Rede D'Or;Auxiliar de enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;sim
ENF EURO 4T;ago/20;jun/22;;Sim;Hospital de Osasco;Técnico de Enfermagem;;Pronto Socorro Ortopédico;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;Não;;;sim
ENF21T1S;fev/21;dez/22;Sim;Sim;HMVSC;Tecnico Enfermagem;;Oncologia;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado ;;;;;;;;;;Einstein;sim
ENF EURO 4T;ago/20;jun/22;;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Cancelado;Reprovado ;;;;;;;Sim;;Sim;;sim
ENF21N2S;ago/21;jun/23;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;CT_Pessoal;05/02/2021;;;;;;;;
ENF22N1S;fev/22;dez/23;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;Unidade Santana, ultrassom;;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;;;;;;;;;;;
ENF22M1S;fev/22;dez/23;Não;Sim;Hospital Santa Elisa;Tecnico Enfermagem;Não;;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;;;;;;;;;;;
ENF21M1S;fev/21;dez/22;;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Transferência;Aluna de complemento;;;;;Transferida para turma ENF21N1S;;;;;não
ENF20M1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Morumbi/Hemodiálise;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;Sim;;
ENF EURO 4T;ago/20;jun/22;Sim;Sim;HMVSC;Auxiliar de Enfermagem;;Assist – Diálise, Ambulatório e Coleta;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Não;Sim;;Einstein;sim
ENF21T1S;fev/21;dez/22;Não;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;Tem interesse em ingressar na área;;;;;sim
ENF20T1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Ambulatório;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;Sim;;
ENF22M2S;ago/22;jun/24;;;Hospital Israelita Albert Einstein;Estagiário Técnico Extracurricular ;Unidade Internação 9 LESTE;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Matriculado;;;;;;;;;;;
ENF23T1S;jan/23;dez/24;;;;Estagiário Técnico Extracurricular ;Terapia Semi Intensiva - Enf;;Curso Técnico de Enfermagem;;Ativo;Matriculado;;;;;;;;;;;
ENF22N1S;fev/22;dez/23;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Evasão;05/04/2022;;;;;;;;
ENF20T1S;fev/20;dez/21;;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Não;;;;
ENF20N2S;ago/20;jun/22;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;Em teoria de PAI e Estágio de PAI e APPS;CT_Reprovação;;;;Em teoria de PAI e Estágio de PAI e APPS;Não;;;;sim
ENF23M1S;fev/23;dez/24;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Matriculado;;;;;;;;;;;
ENF22N2S;ago/22;jun/24;;;Hospital Israelita Albert Einstein;Estagiário Técnico Extracurricular ;Unidade Internação 13º andar D;;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;;;;;;;;;;;
ENF21M2S;ago/21;jun/23;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Time Multiprofissional de Hospitalistas;Curso Técnico de Enfermagem;Técnico de Enfermagem;Concluido;Aprovado;;Motivos pessoais;01/08/2022;;;;;;;;
ENF21M1S;fev/21;dez/22;Sim;Sim;Hospital Israelita Albert Einstein;Tecnico Enfermagem;;Terapia Intendiva Adulto  - Marcelle;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;Estágio extra;;;;Einstein;sim
ENF20N1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;Sim;;
ENF20M2S;ago/20;jun/22;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Cancelado;;CT_Pessoal;30/12/2021;;;;Não;Sim;;;sim
ENF21M2S;ago/21;jun/23;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Reprovado;Estágio Pacientes Graves;;;;;;Não;Sim;;;
ENF22M1S;fev/22;dez/23;;Não;;;;;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;Estágio Pacientes Graves;;;;;;Não;Sim;;;
ENF21M1S;fev/21;dez/22;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Transferência;Transferida para a turma ENF21N1S;;;;;Transferida para a turma ENF21N1S;;;;;não
ENF EURO 4T;ago/20;jun/22;Não;Sim;UPA PERUS;Técnico de Enfermagem;;PRONTO ATENDIMENTO;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;Sim;;sim
ENF21N1S;fev/21;dez/22;Sim;Sim;Hospital Israelita Albert Einstein;Tecnico Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;Quer trabalhar no INCOR;;;;;Quer trabalhar no INCOR;;;;Einstein;sim
AC22N1S;abr/23;jun/23;Sim;Sim;Hospital Israelita Albert Einstein;Assistente Atendimento II MDA/ Laboratório Aeroporto GRU;;;Curso Técnico em Análises Clínicas ;Técnico em Análises Clinicas;Ativo;Aprovado;;;;;;;;;;;
ENF23M1S;fev/23;dez/24;;;;Estagiário Técnico Extracurricular ;Semi Intensiva Neurológica - Enf;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Matriculado;;;;;;;;;;;
ENF23M1S;fev/23;dez/24;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Matriculado;;;;;;;;;;;
ENF23M1S;fev/23;dez/24;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Matriculado;;;;;;;;;;;
ENF23T1S;jan/23;dez/24;;;;;;;Curso Técnico de Enfermagem;;Ativo;Matriculado;;;;;;;;;;;
ENF21N2S;ago/21;jun/23;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar Enfermagem;;;Curso Técnico de Enfermagem;Técnico de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
ENF21N1S;fev/21;dez/22;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Financeiro;05/01/2022;;;;;;;;sim
ENF23N1S;jan/23;dez/24;;;Hospital Israelita Albert Einstein;auxiliar de enfermagem ;Unidade Internação geriatria;;Curso Técnico de Enfermagem;;Ativo;Matriculado;;;;;;;;;;;
AC22N1S;fev/22;dez/23;Sim;Sim;Hospital Israelita Albert Einstein;Morumbi;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Ativo;Aprovado;;;;;;;;;;;
ENF22M2S;ago/22;jun/24;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;E-Motivos pessoais;02/02/2023;fev/23;;;;;;;
ENF23M1S;fev/23;dez/24;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Matriculado;;;;;;;;;;;
ENF22M2S;ago/22;jun/24;;;;;;;Curso Técnico de Enfermagem;Tecnico de Enfermagem;Ativo;Aprovado;vai compensar as faltas mediante a apresentaçãode atestado;;;;;;;;;;
ENF EURO 5T;fev/22;dez/23;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Reprovado ;Teoria e estágio de APPS;;;;;Teoria e estágio de APPS;;;;;
RAD22N1S;fev/22;dez/23;Sim;Sim;Hospital Israelita Albert Einstein;Técnico Raio X;Sim - de tec ADM III para tec Raio X;Unidade Ibirapuera;Curso Técnico em Radiologia ;Técnico em Radiologia;Ativo;Aprovado;;;;;;;;;;;
ENF22N1S;fev/22;dez/23;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;E-Outra IE;23/09/2021;;;;;;;;
ENF20M2S;ago/20;jun/22;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Reprovado;;Reprovado ;21/12/2020;;;;Não;;;;não
ENF21T1S;fev/21;dez/22;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Cancelado;;Reprovado ;15/06/2021;;;;;;;;sim
ENF20T1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Transporte Pacientes;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Não;;;;
ENF21M2S;ago/21;jun/23;Não;Sim;Hospital Estadual Vila Alpina;Técnica de enfermagem;;;Curso Técnico de Enfermagem;Técnico de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
ENF20T1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Unidade Internação 11º Andar;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;Sim;;
ENF20M2S;ago/20;jun/22;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;Reprovado em  PAI I e Inic. Cientifica;Reprovado ;05/08/2021;;;Reprovado em  PAI I e Inic. Cientifica;Sim;;Sim;;sim
ENF21T1S;fev/21;dez/22;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Motivos Pessoais;19/07/2021;;;;;;;;sim
ENF21N2S;ago/21;jun/23;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar Enfermagem;Sim, de camareira para auxiliar;Morumbi, semi intensiva;Curso Técnico de Enfermagem;Técnico de Enfermagem;Concluido;Aprovado;É funcionária HIAE - Camareira Facilities;;;;;;;;;;
ENF22N1S;fev/22;dez/23;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Mudança de horário no trabalho ;17/02/2022;;;;;;;;
ADMPTA 22M1S;fev/22;dez/22;Sim;Sim;HMVSC;Assistente de Atendimento;;;Curso Técnico em Administração com Ênfase nos Serviços de Saúde;Curso Técnico em Administração com Ênfase nos Serviços de Saúde;Ativo;Aprovado;;;;;;Ótimo desempenho;;;;Einstein;sim
ENF22M2S;ago/22;jun/24;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Saúde;29/08/2022;;;;;;;;
ENF22M2S;ago/22;jun/24;;;Hospital Israelita Albert Einstein;Estagiário Técnico Extracurricular ;Transporte Pacientes;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Matriculado;;;;;;Faz estágio extra - Morumbi;;;;;
